id;Título;Ano;Autores;Nacionalidade do 1º autor;Instituição do 1º autor;Estado da Instituição;Revista;Fator de impacto;freq;Qualis da revista;Palavras chave;Local do estudo (coordenada ou/e subregião);Fitofisionomia (s);Grupo taxonomico;Utilizou fogo experimental;Utilizou histórico de incêndio ;Avaliou um unico evento de incêndio;Apenas citou o fogo;Forma de obtenção dos dados;Principais conclusões;Observações;;;;;;;
36;Seasonal Dynamics of Flooded Tropical Grassland Communities in the Pantanal Wetland;2020;"Barbosa da Silva, Fernando Henrique; Nunes da Cunha, Catia; Overbeck, Gerhard Ernst";Brasileira;UFRGS/INAU;RS/MT;wetlands;2.074;1;;"Biodiversity; Community ecology; Floodplain; Hyperseasonal savanna; Morphological plasticity; Regeneration";Cuiabá River megafan;Campos inundáveis;ervas;não;não;não;sim;coleta de campo;Coloca o fogo como um elemento da paisagem;;;;;;;;
42;Fire foci related to rainfall and biomes of the state of Mato Grosso do Sul, Brazil;2020;"de Oliveira-Junior, Jose Francisco; Teodoro, Paulo Eduardo; da Silva Junior, Carlos Antonio; Rojo Baio, Fabio Henrique; Gava, Ricardo; Capristo-Silva, Guilherme Fernando; de Gois, Givanildo; Felix Correia Filho, Washington Luiz; Lima, Mendelson; Santiago, Dimas de Barros; Freitas, Welington Kiffer; dos Santos, Paulo Jose; Costa, Micejane da Silva";Brasileira;UFAL;AL;AGRICULTURAL AND FOREST METEOROLOGY;6.424;1;;"Wildfires;Multivariate analysis;Ecosystems;Pantanal;Cerrado";-;várias;-;não;sim;não;não;sensoriamneto remoto;;Avaliou o padrão de incêndio em todo o estado de MS;;;;;;;
66;Mapping Burned Areas of Mato Grosso State Brazilian Amazon Using Multisensor Datasets;2020;"Shimabukuro, Yosio Edemir; Dutra, Andeise Cerqueira; Arai, Egidio; Duarte, Valdete; Godinho Cassol, Henrique Luis; Pereira, Gabriel; Cardozo, Francielle da Silva";Brasileira;INPE;SP;REMOTE SENSING;;1;;"burned areas detection; shade fraction image; linear spectral mixing model; VIIRS; PROBA-V; Landsat-8 OLI";Pantanal de Mato Grosso;-;-;não;não;sim;não;Sensoriamento remoto;The results obtained were validated using the Sentinel-2 data and compared with active fire data and existing global burned areas products, such as the MODIS (Moderate Resolution Imaging Spectroradiometer product) MCD64A1 and MCD45A1, and Fire CCI (ESA Climate Change Initiative) products. Although there is a good visual agreement among the analyzed products, the areas estimated were quite different. Our results presented correlation of 51% with Sentinel-2 and agreement of r2 = 0.31, r2 = 0.29, and r2 = 0.43 with MCD64A1, MCD45A1, and Fire CCI products, respectively. However, considering the active fire data, it was achieved the better performance between active fire presence and burn mapping (92%). The proposed method provided a general perspective about the patterns of fire in various biomes of Mato Grosso State, Brazil, that are important for the environmental studies, specially related to fire severity, regeneration, and greenhouse gas emissions.;è um artigo que mapeou area queimada mas para todo o MT;;;;;;;
67;Persistent fire foci in all biomes undermine the Paris Agreement in Brazil;2020;"da Silva Junior, Carlos Antonio; Teodoro, Paulo Eduardo; Delgado, Rafael Coll; Ribeiro Teodoro, Larissa Pereira; Lima, Mendelson; Pantaleao, Ariane de Andrea; Rojo Baio, Fabio Henrique; de Azevedo, Gileno Brito; de Oliveira Sousa Azevedo, Glauce Tais; Capristo-Silva, Guilherme Fernando; Arvor, Damien; Facco, Cassiele Uliana";Brasileira;UNEMAT;MT;SCIENTIFIC REPORTS;4.996;1;;-;Pantanal;-;-;não;sim;não;não;Sensoriamento remoto;The Atlantic Forest, Pantanal, Caatinga and Pampa biomes had low emissions compared to the Amazon and Cerrado. Based on 2030 projections, the sum of emissions from fire foci in the six Brazilian biomes will exceed 5.7 Gt CO2, compromising the national GHG reduction targets. To reduce GHG emissions, Brazil will need to control deforestation induced by the expansion of the agricultural frontier in the Amazon and Cerrado biomes. This can only be achieved through significant political effort involving the government, entrepreneurs and society as a collective.;EStudou todos os biomas;;;;;;;
69;Analysis of the temporal, spatial and trend incidence of fire in biomes and conservation units of Brazil;2020;"de Jesus, Janisson Batista; da Rosa, Cristiano Niederauer; de Carvalho Barreto, Ikaro Daniel; Fernandes, Milton Marques";Brasileira;UFRGS;RS;CIENCIA FLORESTAL;-;1;;"Monitoramento ambiental; Áreas protegidas; Geoprocessamento; Teste de Mann-Kendall";Pantanal;-;-;não;sim;não;não;sensoriamento remoto;Observou-se que os biomas Amazônia e Cerrado possuem, respectivamente, os maiores focos de fogo, com o Cerrado tendo maior área queimada. Consequentemente, as Unidades de Conservação localizadas nestes biomas tiveram maior quantidade de focos detectados. A análise da tendência estatística indicou que o crescimento da ocorrência de fogo possui sazonalidade em todos os biomas, com o Pampa sendo caracterizado por uma condição natural. Portanto, o estudo permitiu identificar e quantificar, espacialmente, os maiores focos de queimadas nos Biomas brasileiros, bem como nas Unidades de Conservação em cada respectivo bioma para a série estudada, servindo como base para medidas de prevenção e controle do fogo principalmente nas Unidades de Conservação que possuem maiores ocorrências no país.;O trabalho avaliou todos os biomas do brasil;;;;;;;
70;Life stage, sex, and behavior shape habitat selection and influence conservation strategies for a threatened fossorial mammal;2020;"Jean Desbiez, Arnaud Leonard; Kluyber, Danilo; Massocato, Gabriel Favero; Rodrigues Oliveira-Santos, Luiz Gustavo; Attias, Nina";Brasileira;ICAS;MS;HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY;2.017;1;;"habitat loss;Xenarthra;intrapopulation variability;step selection function;resource selection function;giant armadillo";19°16’60” S,55°42’60”W;;xenartthra;não;não;não;sim;coleta de campo;Our findings indicated that females select habitats in a way to balance offspring safety and food availability, while males are risk takers and explore space widely. Forests showed to be fundamental for the species survival, especially during early life stages. Unfortunately, harmful management practices recently adopted, e.g., conversion of forests into pasture and fires, affect the habitats selected by this ecosystem engineer. Giant armadillos can act as umbrella species, as strategies targeted at protecting this charismatic large mammal could provide wider benefits for biodiversity conservation and ecosystem services in the Pantanal;;;;;;;;
71;The ecosystem of peatland research: a bibliometric analysis;2020;"van Bellen, S.; Lariviere, V";Canadense;Universidade de Montreal;Montreal;MIRES AND PEAT;;1;;bibliometrics, ecosystem, internationalisation, peatland, topic;;;;não;não;não;sim;revisão;;trabalho de revisão com todos as áreas umidas do mundo;;;;;;;
3;Fire in Paradise: Why the Pantanal is burning;2021;"Leal Filho, Walter; Azeiteiro, Ulisses M.; Salvia, Amanda Lange; Fritzen, Barbara; Libonati, Renata";Brasileira;"Hamburg University of Applied Sciences; Manchester Metropolitan University";"Alemanha; Reino Unido";Environmental Science and Polic;6.424;1;s/ classificação;"Wetland, Brazilian forests, Vegetation loss; Biodiversity";Pantanal;-;-;Não;Sim;Não;não;Dados de monitoramento de queimadas e IBAMA;a região do Pantanal está sob forte pressão devido aos diversos interesses econômicos que a cercam, vem impactando negativamente a biodiversidade. Os efeitos indiretos do fogo costumam ser mais amplos, posteriores e mais diversos do que os imediatos. Considerando que os danos de longo prazo à fauna e aos ecossistemas locais ainda são desconhecidos, fica claro que o atual sistema de multas ineficiente precisa mudar.;;;;;;;;
12;Record-breaking wildfires in the world’s largest continuous tropical wetland: Integrative fire management is urgently needed for both biodiversity and humans;2021;9;Brasileira;UFMS;MS;JOURNAL OF ENVIRONMENTAL MANAGEMENT;8.91;1;A2;Climate change, climate extremes, landscape managemente, late-dry season wildfires, neotropical, prescribed fires;Pantanal;Várias;-;Não;Sim;Não;não;Banco de dados (dataset de áreas queimadas);O surto de incêndio de 2020 foi o resultado de uma interação complexa entre fatores meteorológicos/climáticos, paisagísticos e humanos. Fatores que levaram a um aumento de 376% na ocorrência de incêndios florestais: secas severas desencadeando combustível seco ao longo dos leitos dos rios para queimar após receber ignição de fontes antropogênicas e outras, restrições do COVID-19 e recentes cortes no orçamento federal em 2020 afetando os esforços de combate a incêndios, gestão insuficiente de incêndios, e mudanças no uso da terra.;;;;;;;;
19;Distance sampling surveys reveal 17 million vertebrates directly killed by the 2020's wildfires in the Pantanal, Brazil;2021;"Tomas, Walfrido Moraes; Berlinck, Christian Niel; Chiaravalloti, Rafael Morais; Faggioni, Gabriel Paganini; Strussmann, Christine; Libonati, Renata; Abrahao, Carlos Roberto; Alvarenga, Gabriela do Valle; de Faria Bacellar, Ana Elisa; de Queiroz Batista, Flavia Regina; Bornato, Thainan Silva; Camilo, Andre Restel; Castedo, Judite; Espinoza Fernando, Adriana Maria; de Freitas, Gabriel Oliveira; Garcia, Carolina Martins; Goncalves, Henrique Santos; de Freitas Guilherme, Mariella Butti; Guedes Layme, Viviane Maria; Gomes Lustosa, Ana Paula; De Oliveira, Ailton Carneiro; Oliveira, Maxwell da Rosa; Martins Pereira, Alexandre de Matos; Rodrigues, Julia Abrantes; Fernandes Semedo, Thiago Borges; Ducel de Souza, Rafael Augusto; Tortato, Fernando Rodrigo; Passos Viana, Diego Francis; Vicente-Silva, Luciana; Morato, Ronaldo";Brasileira;EMBRAPA;MS;SCIENTIFIC REPORTS;5.516;1;B1;-;Pantanal;Várias;Vertebrados;não;não;sim;não;coleta de campo;Our estimates indicate that at least 16.952 million vertebrates were killed immediately by the fres in the Pantanal, demonstrating the impact of such an event in wet savanna. ;;;;;;;;
21;Historical survey of research related to fire management and fauna conservation in the world and in Brazil;2021;"Berlinck, Christian Niel; Augusto Lima, Luanne Helena; Ribeiro de Carvalho Junior, Elildo Alves";Brasileira;ICMBio;MT;BIOTA NEOTROPICA;-;1;b2;Scientometric Evaluation, Bushfire, Forest Fire, Controlled Burn, Mammal, Fire Ecology;-;-;-;não;não;sim;não;revisão;;;;;;;;;
28;The Pantanal under Siege-On the Origin, Dynamics and Forecast of the Megadrought Severely Affecting the Largest Wetland in the World;2021;"Thielen, Dirk; Ramoni-Perazzi, Paolo; Puche, Mary L.; Marquez, Marco; Quintero, Jose Isrrael; Rojas, Wilmer; Soto-Werschitz, Alejandra; Thielen, Kai; Nunes, Ana; Libonati, Renata";Venezuelana;Venezuelan Institute for Scientific Research;Caracas;Water;3.530;1;s/ classificação;"megadrought; precipitation; extreme climate event; Pantanal; wetland; Brazil; sea surface temperature (SST); marine heatwave (MHW); CHIRPS V2.0; ERSSTv5";Pantanal;-;-;não;não;não;sim;Sensoriamento remoto;the evolution of the megadrought has been differentiable in both, space and time. As for its origin and determinants, Climate Change was ratified as one of the most important threats to the Pantanal, and to vast areas of South America, since a strong correlation was identified between megadrought’s dynamics and the occurrence of intense marine heatwaves at Northern Hemisphere oceanic waters, and more specifically, at the Northeast Pacific. Results also show that the megadrought is expected to continue at both the Pantanal and the surrounding Highlands, at least until December 2023;;;;;;;;
29;Fires dynamics in the Pantanal: Impacts of anthropogenic activities and climate change;2021;"Marques, Juliana Fazolo; Alves, Maria Bevilacqua; Silveira, Carolina Ferrari; Amaral e Silva, Arthur; Silva, Thiago Abrantes; dos Santos, Vitor Juste; Calijuri, Maria Lucia";Brasileira;Universidade Federal de Ouro Preto;MG;JOURNAL OF ENVIRONMENTAL MANAGEMENT;8.91;1;A2;"LULC changes; Burned areas;Agriculture;Native vegetation loss;Climate change";Pantanal;-;-;não;não;sim;não;Sensoriamento remoto;"Anthropogenic activities and climate change intensified the fires in 2020; Agriculture and pasture expanded over natural vegetation, mainly in Pantanal eastern; The highest concentrations of fire foci are adjacent to the agricultural frontier; Climatic and environmental variables presented atypical behavior in 2020.";;;;;;;;
30;Fire tolerance strategies in woody species from Pantanal riparian forests involve phenolic compounds and structure of the inner bark;2021;"da Silva, Jane Rodrigues; Matos, Diogo da Silva; Boaretto, Amanda Galdi; Carollo, Carlos Alexandre; de Oliveira, Lincoln Carlos Silva; Scremin-Dias, Edna; Damasceno Junior, Geraldo Alves; de Oliveira Arruda, Rosani do Carmo";Brasileira;UFMS;MS;FLORA;2.22;1;B1;"Bark thickness; Sclerenchyma; Southern Brazilian Pantanal; Tannin; Wetlands";"18?56?45.5""S,57?40?07.7""W";Floresta riparia;Arvores;não;sim;não;não;coleta de campo;"Phenolic compounds and sclerenchyma confer protection against fire and flooding; Inner bark contributes more than outer bark to fire protection in riparian species; Bark thickness does not necessarily confer fire tolerance in riparian species.";;;;;;;;
31;Do fire and flood interact to determine forest islet structure and diversity in a Neotropical wetland?;2021;"Rivaben, Rodrigo Cyrino; Pott, Arnildo; Bueno, Marcelo Leandro; Parolin, Pia; Cordova, Milton Omar; Oldeland, Jens; da Silva, Rosa Helena; Damasceno-Junior, Geraldo Alves";Brasileira;UFMS;MS;FLORA;2.22;1;B1;"Attalea phalerata;Capão;Ecological filters;Monodominance;Pantanal wetland;Species composition";"14?S,53?W; 22?S , 66?W";Floresta (capão);Arvores, arbustos, palmeiras;não;sim;não;não;coleta de campo;"The interaction between fire and flood reduces richness and abundance of tree species; The basal area is influenced by floods, mainly by the presence of Attalea phalerata; The interaction between fire and flood favors the monodominance of Attalea phalerata; For the preservation of forest islets, controlled fires can be used as management tools.";;;;;;;;
32;Fire has little to no effect on the enhancement of germination, but buried seeds may survive in a Neotropical wetland;2021;"Soares, Vanessa C.; Scremin-Dias, Edna; Felipe Daibes, L.; Damasceno-Junior, Geraldo A.; Pott, Arnildo; de Lima, Liana B.";Brasileira;UFMS;MS;FLORA;2.22;1;B1;"Guazuma; Heat shock; Physical dormancy; Pantanal;Riparian forest;Sesbania";19º48’14.1”S, 57º91’40.9”W;Floresta riparia;Arvores;sim;não;não;não;coleta de campo;"Heat shocks reduce seed water content and seed germination of Sesbania virgata and Guazuma ulmifolia; Direct exposure to fire kills nearly all seeds placed upon the soil surface;Inside the corky fruits, seeds often remain hard or decrease viability;Seeds may survive the experimental burns when buried 2 cm belowground;Fire has little to no effect on the enhancement of germination in a tropical wetland.";;;;;;;;
38;Lack of protected areas and future habitat loss threaten the Hyacinth (Macaw Anodorhynchus hyacinthinus) and its main food and nesting resources;2021;"Oliveira, Maxwell da R.; Szabo, Judit K.; Junior, Antonio dos S.; Guedes, Neiva Maria R.; Tomas, Walfrido M.; Camilo, Andre R.; Padovane, Carlos R.; Peterson, Andrew T.; Garcia, Leticia C.";Brasileira;UFMS;MS;International journal of avian science;2,351;1;;"deforestation; habitat suitability models; interspecific interations; potential distribuition; wetlands";Pantanal;várias;ave/arvores;não;não;não;sim;modelos de distribuição;Cita o fogo como um fator que deve ser pensado para conservação;;;;;;;;
39;Extreme Drought in the Brazilian Pantanal in 2019-2020: Characterization, Causes, and Impacts;2021;"Marengo, Jose A.; Cunha, Ana P.; Cuartas, Luz Adriana; Deusdara Leal, Karinne R.; Broedel, Elisangela; Seluchi, Marcelo E.; Michelin, Camila Miranda; De Praga Baiao, Cheila Flavia; Angulo, Eleazar Chuchon; Almeida, Elton K.; Kazmierczak, Marcos L.; Antonio Mateus, Nelson Pedro; Silva, Rodrigo C.; Bender, Fabiani";Brasileira;UNESP/CEMADEN;SP;Frontiers in water;1,2;1;;"Pantanal; drought; river levels; biodiversity; fires";Pantanal;várias;-;não;não;não;sim;sensoriamento remoto;não estudou o fogo, apenas citou ele como uma conseguencia da seca.;;;;;;;;
40;Differences between species in seed bank and vegetation helps to hold functional diversity in a floodable Neotropical savanna;2021;"de Souza, Evaldo B.; Bao, Francielli; Damasceno Junior, Geraldo A.; Pott, Arnildo";Brasileira;UFMS;MS;JOURNAL OF PLANT ECOLOGY;1.780;1;;"environmental filters; functional diversity;hydrochoric dispersal;Pantanal wetland;persistence;regeneration";Nabileque;"savanna with scattered T. aurea and B. cydoniifolia trees; grassland; paleodike with seasonal semideciduous forest; spiny scrub (dense spiny shrubby vegetation).";seed bank;não;não;não;sim;coleta de campo;citou o fogo para descrever a paisagem e para explicar os resultados;;;;;;;;
41;Diversity of insect galls from Mato Grosso State, Brazil: North Pantanal;2021;"Urso-Guimaraes, Maria Virginia; Koch, Ingrid; Devides Castello, Ana Carolina";Brasileira;UFSCar;SP;BIOTA NEOTROPICA;-;1;;"Biodiversity; Brazilian wetlands; conservation; gall makers; Neotropical region; insect-plant- interaction";"16°36'03.5"" S, 56°43'46.1"" W";Cerrado e Floresta seca;invertebrados;não;não;não;sim;sensoriamneto remoto;;"Associou os dados com o grande incêndio de 2020; mas não avaliou diretamente o efeito do fogo.";;;;;;;
56;Extreme Drought in the Brazilian Pantanal in 2019-2020: Characterization, Causes, and Impacts (vol 3, 639204, 2021);2021;"Marengo, Jose A.; Cunha, Ana P.; Cuartas, Luz Adriana; Leal, Karinne Deusdara R.; Broedel, Elisangela; Seluchi, Marcelo E.; Michelin, Camila Miranda; Baiao, Cheila FlaviaDe Praga; Angulo, Eleazar Chuchon; Almeida, Elton K.; Kazmierczak, Marcos L.; Mateus, Nelson Pedro Antonio; Silva, Rodrigo C.; Bender, Fabiani";Brasileira;UNESP/CEMADEN;SP;FRONTIERS IN WATER;5.5;1;;"Pantanal; drought; river levels; biodiversity; fires";Pantanal;-;-;não;não;sim;não;Sensoriamento remoto;The lack of rainfall during the summers of 2019 and 2020 was caused by reduced transport of warm and humid summer air from Amazonia into the Pantanal. Instead, a predominance of warmer and drier air masses from subtropical latitudes contributed to a scarcity of summer rainfall at the peak of the monsoon season. This led to prolonged extreme drought conditions across the region. This drought had severe impacts on the hydrology of the Pantanal. Hydrometric levels fell all along the Paraguay River. In 2020, river levels reached extremely low values, and in some sections of this river, transportation had to be restricted. Very low river levels affected the mobility of people and shipping of soybeans and minerals to the Atlantic Ocean by the Hidrovia -Paraná-Paraguai (Paraná-Paraguay Waterway). This study is directed to better understand the hydroclimatic aspects of the current drought in the Brazilian Pantanal and their impacts on natural and human systems. As a consequence of the drought, fires spread and affected natural biodiversity as well as the agribusiness and cattle ranching sectors. While fires had serious socioecological and economic consequences, we do not intend to investigate the effect of the downstream low-level waters on the Pantanal ecosystems or the drought in the risk of fire.;;;;;;;;
62;The heat wave of October 2020 in central South America;2021;"Marengo, Jose A.; Ambrizzi, Tercio; Barreto, Naurinete; Cunha, Ana Paula; Ramos, Andrea M.; Skansi, Milagros; Carpio, Jorge Molina; Salinas, Roberto";Brasileira;UNESP/CEMADEN;SP;INTERNATIONAL JOURNAL OF CLIMATOLOGY;3.651;1;;"compound event; drought; heat wave; maximum temperature";-;-;-;não;não;não;sim;Sensoriamento remoto; This makes it easier for these high-pressure sys-tems to generate extreme heat waves because more of the sun's energy is goinginto heating the atmosphere rather than evaporating non-existent water in thesoil. This heat wave aggravated the drought over the Pantanal and otherregions in October 2020, increasing fires and impacts on natural and humansystems, representing a severe drought-heat compound event. This viciouscycle of drought and extreme heat is of the kind expected under a warmingclimate.;o trabalho foi para toda a america do sul;;;;;;;
63;Fire damage on seeds of Calliandra parviflora Benth. (Fabaceae), a facultative seeder in a Brazilian flooding savanna;2021;"dos Santos Ferreira, Bruno Henrique; Guerra, Angelica; da Rosa Oliveira, Maxwell; Reis, Leticia Koutchin; Aptroot, Andre; Ribeiro, Danilo Bandini; Garcia, Leticia Couto";Brasileira;UFMS;MS;PLANT SPECIES BIOLOGY;1.821;1;;"fire season; phenology; regeneration; shrub; sprouting";TI Kadweu;Savana;Arbusto;não;não;sim;não;coleta de campo;Fire during fruiting or pre-dispersion decreases seed germination from 22 to 3%, but it does not hurt vegetative regeneration or resprout capacity of C. parviflora, which is a facultative seeder. Hence, we suggest that C. parviflora has potential for post-fire restoration in floodable open grassy savannas, in the ecotone between Cerrado and Pantanal, because this species may sprout quickly after first post-fire rains.;;;;;;;;
64;Fire, flood and monodominance of Tabebuia aurea in Pantanal;2021;"Manrique-Pineda, Daniel Armando; de Souza, Evaldo Benedito; Paranhos Filho, Antonio Conceicao; Encina, Cesar Claudio Caceres; Damasceno-Junior, Geraldo Alves";Colombiano;UFMS;MS;FOREST ECOLOGY AND MANAGEMENT;4.384;1;;"Environmental filters; Monodominant stands; Remote sensing;Phytosociology;Earth-mounds";19°18?44.30?S ,57°37?10.23?W;Paratudal;arvores;não;sim;não;não;coleta de campo;Under higher fire frequency, abundance, richness and basal area of all species decreased with increase of water level. However, the abundance and basal area of Tabebuia aurea remained higher than those of other species. Under lower fire frequency, the abundance and richness of all species in the community increased with water level. Basal area, however, decreased with increasing water level, such that individuals with larger basal area were found under lower fire frequency. Under high fire frequency earth-mounds protected T. aurea individuals from fire and flood. Earth-mounds influenced species richness and basal area only under medium-low fire frequency. Results show that monodominance of T. aurea benefits from the interaction between fire and flood, with some help from earth-mounds. Individuals of other tree species, show tolerance to high flood levels or high fire frequencies, but not the interaction between fire and flood. This dynamic strengthens the monodominance of T. aurea, as the number of individuals also increases. Our results show that flood and fire are important to the conservation of this monodominant community.;;;;;;;;
65;The 2020 Brazilian Pantanal fires;2021;"Pletsch, Mikhaela A. J. S.; Silva Junior, Celso H. L.; Penha, Thales V.; Korting, Thales S.; Silva, Maria E. S.; Pereira, Gabriel; Anderson, Liana O.; Aragao, Luiz E. O. C.";Brasileira;INPE;SP;ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS;-;1;;-;Pantanal;-;-;não;não;sim;não;artigo de opinião;;parece um trabalho de congresso;;;;;;;
1;Indigenous brigades change the spatial patterns of wildfires, and the influence of climate on fire regimes;2022;"Oliveira, Maxwell R.; Ferreira, Bruno H. S.; Souza, Evaldo B.; Lopes, Aline A.; Bolzan, Fabio P.; Roque, Fabio O.; Pott, Arnildo; Pereira, Alexandre M. M.; Garcia, Leticia C.; Damasceno Jr, Geraldo A.; Costa, Ademilson; Rocha, Mesaque; Xavier, Silvio; Ferraz, Rubens A.; Ribeiro, Danilo B.";Brasileira;UFMS;MS;Journal of Applied Ecology;6.86;1;A1;"controlled burning; fire management policies; indigenous fire brigades; integrated fire management; Pantanal; wetland; wildfire management; wildfire reduction"; Kadiwéu IT ;Várias;-;Não;Sim;Não;não;Banco de dados (dataset de áreas queimadas), comparação do histórico através dos anos;"O manejo de incêndios pelas brigadas indígenas reduziu em 80% a frequência de incêndios nas áreas com alta frequência de incêndios. A gestão também reduziu em 53% o tamanho da área queimada e a influência do clima sobre a área total queimada. a área afetada pelos incêndios é influenciada principalmente pelas chuvas anuais na ausência de brigadas indígenas; em contrapartida, os fatores climáticos não puderam explicar a variação da área queimada no período sem brigadas indígenas.";;;;;;;;
2;Determinants of Fire Impact in the Brazilian Biomes;2022;"Oliveira, Ubirajara; Soares-Filho, Britaldo; Bustamante, Mercedes; Gomes, Leticia; Ometto, Jean P.; Rajao, Raoni";Brasileira;UFMG;MG;FRONTIERS IN FORESTS AND GLOBAL CHANGE;4.332;1;s/ classificação;modeling, deforestation, land use change, protected areas, native vegetation;Pantanal, Cerrado, Amazônia;-;-;Não;Sim;Não;não;Banco de dados (dataset de áreas queimadas);"Os três biomas do estudo apresentaram fogo de alto impacto; O clima é o principal determinante do impacto do fogo no Cerrado e Pantanal, já na Amazônia é a ação humana; há uma tendência de aumento de fogo de alto impacto nesses biomas";;;;;;;;
15;Increased burned area in the Pantanal over the past two decades;2022;"Correa, Danielle Blazys; Alcantara, Enner; Libonati, Renata; Massi, Klecia Gili; Park, Edward";Brasileira;UNESP;SP;Science of The Total Environment;10.753;1;A2;"LULC changes; Burned areas; Tropical wetland; Extreme events";Pantanal;-;-;não;Sim;não;não;Sensoriamento remoto;"Fire patterns in the Pantanal wetland in the last two decades were analyzed by mapping burned area; Among land covers, grassland was the most vulnerable to fire; Mega-fires in 2020 have occurred exceptionally within forest; Large scale synoptic view is necessary for better management of fires in Pantanal.";;;;;;;;
16;Human Activity Behind the Unprecedented 2020 Wildfire in Brazilian Wetlands (Pantanal);2022;"de Magalhaes Neto, Newton; Evangelista, Heitor";Brasileira;UERJ;RJ;FRONTIERS IN ENVIRONMENTAL SCIENCE;5.411;1;C;"burn severity; extreme fire event; drought; climate change; land use/cover change";Pantanal;Várias;-;não;Sim;não;não;"Banco de dados; Sensoriamento Remoto";"Most impacted conservation units had more than 80% of their area burned and exhibited moderate low-high burn severity; The 2020 unprecedented fire crisis in the Pantanal was caused by the combination of human presence, represented by accessibility through roads and waterways, and an extremely dry climate.";;;;;;;;
17;Lightning patterns in the Pantanal: Untangling natural and anthropogenic-induced wildfires;2022;"Menezes, Lucas S.; de Oliveira, Aline M.; Santos, Filippe L. M.; Russo, Ana; de Souza, Rodrigo A. F.; Roque, Fabio O.; Libonati, Renata";Brasileira;UFRJ;RJ;Science of The Total Environment;10.753;1;A2;"Pantanal; Fires; Burned area; Lightning; VIIRS; STARNET";Pantanal;-;-;não;Sim;não;não;Sensoriamento remoto;"Globally, Brazil is one of the regions with the highest lighting and fire activity; We use 6-year remote sensing data to relate lighting and fire in the Pantanal; Human activity is the main source of ignition accounting for 84% of the burnt area; Natural-caused fires account for only 5% of the total scars; Most of the fires with extension larger than 1000 ha were not related to lighting.";;;;;;;;
18;Changes in land use enhance the sensitivity of tropical ecosystems to fire-climate extremes;2022;"Kumar, Sujay; Getirana, Augusto; Libonati, Renata; Hain, Christopher; Mahanama, Sarith; Andela, Niels";EUA;NASA Goddard Space Flight Center;Maryland;SCIENTIFIC REPORTS;5.516;1;B1;-;Pantanal;-;-;não;Sim;não;não;Sensoriamento remoto;"We demonstrate that the fres were fueled by an exceptional multi-year drought, but dry conditions solely could not explain the spatial patterns of burning; Our analysis reveals how human-caused fres exacerbated drought efects on natural ecosystem within the Pantanal, with large burned fractions primarily over natural (52%), and low cattle density areas (44%) in 2020;  The post-fre ecosystem and hydrology changes also had strong ecological efects, with vegetation productivity less than ? 1.5 ? over more than 30% of the natural and conservation areas; In contrast to more managed areas, there was a clear decrease in evaporation (by ~ 9%) and an increase in runof (by~ 5%) over the natural areas, with long-term impacts on ecosystem recovery and fre risk; This study provides the frst tropical evidence outside rainforests of the synergy between climate, land management and fres, and the associated impacts on the ecosystem and hydrology over the largest contiguous wetlands in the world.";;;;;;;;
24;Quantifying the post-fire recovery of taxonomic and functional diversity of dung beetles in the Brazilian Pantanal;2022;"Goncalves, Tais Felix; Correa, Cesar M. A.; Audino, Livia D.; Vaz-de-Mello, Fernando Z.; Fontoura, Fernanda M.; Guedes, Neiva M. R.";Brasileira;UNIDERP;MS;ECOLOGICAL ENTOMOLOGY;2.233;1;A2;"biodiversity conservation; burning sites; grasslands restoration; livestock management; Scarabaeinae; wetlands";"19°51S,56°17’”W; 19°58’S, 56°24’W";Campo;besouros;não;não;sim;não;coleta de campo;"The authors found that taxonomic and functional diversity of dung beetles weresimilar between unburned and burned grasslands, but with a distinct taxonomiccomposition post-fire. The functional traits composition was similar betweenunburned and burned sites, demonstrating that this metric is less sensitive to fireeffects in the Brazilian Pantanal; The study’s results provide evidence that dung beetles exhibit high resistance tothe occurrence of fire and fast recovery from its consequences. Thus, due to itsecological functions (secondary seed dispersion, nutrient cycling and others), theseinsects may assist ecological restoration of burned sites, being useful tools in resto-ration approaches for areas of the Pantanal that have been affected by fire.";;;;;;;;
25;Prioritising areas for wildfire prevention and post-fire restoration in the Brazilian Pantanal;2022;"Martins, Paula Isla; Coelho Belem, Liz Barreto; Szabo, Judit Kriszta; Libonati, Renata; Garcia, Leticia Couto";Brasileira;UFMS;MS;ECOLOGICAL ENGINEERING;4.379;1;A2;"Burnt area; Climate change; Fire ecology; Landscape management; Post-fire recovery; Tropical ecosystems";Pantanal;-;-;não;sim;não;não;Sensoriamento remoto;"We identified priority areas for wildfire prevention and areas degraded by fire; In the Pantanal, 246 km2 have high fire risk and fire-sensitive vegetation; Over 3120 km2 have been severely degraded by recent fires and need restoration; The cost of post-fire restoration for the priority areas is around USD 123 million.";;;;;;;;
